Dataset name,date accessed,source
facilities.csv,01/09/2018,http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page
DOITT_SUBWAY_ENTRANCE_01_13SEPT2010.csv,01/09/2018,https://data.cityofnewyork.us/Transportation/Subway-Entrances/drex-xx56
DOITT_SUBWAY_STATION_01_13SEPT2010.csv,01/10/2018,https://data.cityofnewyork.us/Transportation/Subway-Stations/arq3-7z49
